text,ECON,CULT
"Access to an independent court is now guaranteed for all legal disputes. Lower courts are created for almost all legal cases. In addition, restrictions on access to the Federal Supreme Court are regulated. This stipulates that access to the Federal Supreme Court may be excluded by law for certain subject matters, and that a limit on the value of the dispute may be introduced for cases without fundamental legal significance. The federal government is granted the authority to introduce uniform civil and criminal procedural law for the whole of Switzerland. Furthermore, the Federal Supreme Court is guaranteed autonomy in the administration of the courts, voting rights appeals are introduced at the federal level, and the possibility is created for cantons to establish joint judicial authorities (e.g., juvenile courts). Last but not least, judicial independence is also constitutionally guaranteed.",0.00 ,0.60 
"The initiative requires that a referendum on a fully formulated popular initiative must take place no later than twelve months after its submission. If the Federal Assembly drafts a counterproposal, this deadline can be extended by a further year with the consent of the initiative committee.",0.00 ,0.18 
"The subject of the vote is the revision of various constitutional articles, which would introduce quota regulations for federal authorities, namely the National Council, the Council of States, the Federal Council, and the Federal Supreme Court. They set a 40% quota for women for the latter, while differentiated solutions are provided for the various councils: In the National Council, the difference between the number of men and women elected in a canton may not exceed one; in the Council of States, those cantons with two seats each send one man and one woman; and in the Federal Council, at least three of the seven members must be women. No explicit quota is formulated for the federal administration, state-run enterprises, and universities, although women should be ""adequately"" represented here as well.",-0.20 ,0.75 
"The popular initiative ""to protect people from manipulation in reproductive technology (Initiative for Humane Reproduction)"" calls for a constitutional ban on procreation outside the female body (IVF) and the use of third-party gametes for artificial insemination (heterologous procedures/sperm donation) (Article 119, paragraph 2, letters c and g, of the Federal Constitution). If the initiative is passed, the law on reproductive medicine passed by Parliament must be amended; if rejected, it will enter into force shortly after the vote.",0.00 ,-0.95 
"The Federal Constitution should be amended as follows: The Confederation, cantons, and municipalities shall halve motorized road traffic within ten years of the adoption of the initiative. The new level may not be exceeded. The decisive factor is the total mileage traveled in Switzerland. Public transport is not included. The means to be used for halving the traffic volume shall be determined by law.",-0.65 ,0.80 
"If the federal resolution is adopted, agreements on scientific and technological cooperation, on aspects of public procurement, on mutual recognition of conformity assessments, on trade in agricultural products, on air transport, on the movement of persons and goods, and on the free movement of persons will be approved. The Federal Council will be authorized to ratify these agreements. Furthermore, the Federal Assembly will be empowered to decide, by means of a federal resolution subject to referendum, on the continuation of the Free Movement Agreement and its extension to new EU member states.",0.40 ,0.30 
"According to the initiative, the federal government should promote the use of solar energy as well as the efficient and sustainable use of energy. To this end, it should levy an indexed levy of 0.1 centimes, rising to 0.5 centimes per kilowatt-hour, on the consumption of non-renewable energy. At least half of the levy revenue should be used for solar energy use.
According to the counterproposal, the federal government should levy a dedicated levy of 0.3 centimes per kilowatt-hour on non-renewable energy. The revenue should be used for: the promotion of solar energy, geothermal energy, energy from wood and biomass, the efficient use of energy, and the maintenance and renewal of domestic hydroelectric power plants. One-quarter of the revenue should be used for each measure. This authority expires ten years after the implementing legislation comes into force. It can be extended for a maximum of five years.",-0.47 ,0.62 
"According to the counterproposal, the Federal Constitution should be amended as follows: The federal government shall levy a levy on non-renewable energy sources. This levy is part of energy and environmental policy. The proceeds shall be used to reduce mandatory non-wage labor costs. This shall take into account whether and to what extent individual energy sources are subject to additional levies. The levy takes into account the competitiveness of the economy and will be introduced in stages. The maximum energy levy rate shall be 0.20 cents per kilowatt hour.",-0.10 ,0.25 
"The initiative, also known as the ""18 Percent Initiative,"" requires that the proportion of foreign residents in Switzerland may not exceed 18% of the total population. Asylum seekers, as well as those granted temporary admission and war refugees who have been in Switzerland for more than one year, must be included in the calculation. Qualified scientists, managers, artists, schoolchildren, and students are not included.",0.40 ,-0.90 
"The Federal Constitution should be amended as follows: 50,000 eligible voters or eight cantons may request a vote on a counterproposal to a federal law if at least 5 percent of the members of a council have approved the counterproposal. Voters may choose either the federal law or the counterproposal. If there are several mutually exclusive counterproposals, contingency votes will be held.",0.00 ,0.30 
"According to the popular initiative ""For a more flexible AHV system – against raising the retirement age for women,"" Article 112 of the Federal Constitution (BV) is to establish the introduction of a so-called retirement pension for women and men from the age of 62. At the age of 62, the old-age pension could be received in full if the person ceases to work or if only a low income is earned. The legislature would have to determine at what age the old-age pension could be received unconditionally (regardless of any income).
The popular initiative ""For a flexible retirement age from 62 for women and men"" also aims to make the AHV system more flexible and achieve equality between men and women with regard to retirement age. In addition to the full receipt of an old-age pension upon giving up employment from the age of 62, this initiative provides for the possibility of receiving a portion of the pension if the person partially ceases to work. Here, too, the legislature would have to determine the age at which the old-age pension could be drawn unconditionally (regardless of any income). Furthermore, it could lower the retirement age and provide for early withdrawal under certain conditions.",-0.55 ,0.40 
"According to the initiators' wishes, national defense spending should be reduced to half of its 1987 level within ten years, and one-third of the funds thus released should be used for additional international peace policy. The federal government will promote the restructuring of businesses and administrations affected by disarmament. In addition, a conversion fund of one billion Swiss francs will be established to create replacement jobs.",-0.50 ,0.50 
"The initiative aims to limit mandatory health insurance coverage to hospital stays by amending paragraph 2 of Article 34bis of the Federal Constitution. Insurers will pay a flat rate of CHF 250 (indexed) per patient per day toward the cost of hospital stays, regardless of the actual costs. Those wishing to continue to be insured for outpatient or day-care treatment must take out supplementary insurance.",0.65 ,-0.20 
"The new framework law for federal personnel contains few detailed provisions. However, the key change is the replacement of civil servant status with permanent, terminable contracts, with a comprehensive list of possible grounds for termination. Furthermore, the rigid, automated salary development processes are replaced by regular, salary-based personnel assessments. There is a general alignment with the provisions of the Swiss Code of Obligations, which apply to approximately three million employees in Switzerland. Compared to the old Civil Service Act of 1927, it allows employers (administrations, postal service, SBB, etc.) more flexibility.",0.50 ,0.00 
"According to the initiative, the Federal Constitution should be amended as follows: Switzerland participates in the European integration process and, to this end, seeks accession to the European Union. The Confederation shall commence accession negotiations with the European Union without delay.",0.20 ,0.70 
"The popular initiative ""for lower drug prices"" demands that all medications approved in Switzerland's neighboring countries be allowed to be sold in Switzerland without further control. Furthermore, only the most affordable medications should be reimbursed through basic insurance. If generic drugs (imitations of original drugs) exist, they must be dispensed or prescribed.",-0.60 ,0.30 
"The Federal Constitution should be amended as follows: The general speed limit in built-up areas is 30 km/h. The competent authority may increase the speed limit on main roads if the safety of road users and the protection of residents from noise permit. Within one year of the adoption of this article, the authorities shall issue the corresponding speed limits.",-0.09 ,0.41 
"The Federal Armaments Act contains the following provisions:
Peacebuilding missions can be ordered on the basis of a UN or OSCE mandate. They must comply with the principles of Swiss foreign policy and be carried out by specially trained individuals or troops. Participation is voluntary. The Federal Council determines the type of armament on a case-by-case basis.

Participation in hostilities is prohibited. If the mission is to be armed, the Federal Council consults the relevant committees of both councils in advance. Larger missions must be approved by the Federal Assembly.",0.00 ,-0.16 
"The Federal Act on Training Cooperation stipulates: Within the framework of Swiss foreign and security policy, the Federal Council may conclude international agreements on the training of troops abroad, the training of foreign troops in Switzerland, and joint exercises with foreign troops.",0.00 ,-0.19 
"Thus, the people and the cantons decide on the deletion without replacement of Article 72, paragraph 3 of the Federal Constitution: ""Bishoprics may only be established with the approval of the Confederation.""",0.00 ,0.36 
"The people and the cantons vote on the debt brake (supplement to Articles 126 and 159 of the Federal Constitution). The goal of the debt brake is to ensure a lasting balance of federal finances in a manner that is compatible with the economy. The Federal Constitution stipulates the following:
1. Expenditures must be based on revenues; 2. The current economic situation must be taken into account. Deficits are permitted in economically difficult times, but these must be offset by surpluses in subsequent years of good economic growth; 3. In exceptional circumstances, it is possible to deviate from the debt brake; 4. This increase in total expenditure requires the approval of a majority of the members of each of the two chambers (qualified majority).",0.75 ,-0.30 
"The Federal Constitution should be amended as follows: The federal government shall levy a tax on non-renewable energy and on electricity from hydroelectric power plants to finance social security. If the retirement age is lowered, the proceeds will cover the resulting additional costs. Furthermore, the revenue will be used to achieve a socially acceptable reduction in contributions to the Old Age and Survivors' Insurance (AHV), Disability Insurance (IV), Social Security (EO), and Unemployment Insurance (ALV). Non-working persons who do not reach a minimum income specified by law will receive a tax refund. The energy tax will be introduced in regular, predictable steps. The law may provide for temporary tax relief in cases of hardship.",-0.60 ,0.20 
"The Federal Constitution should be amended as follows: Switzerland has no army; no one may maintain military forces. Participation in international peacekeeping efforts is exempt from this rule. Civilian tasks will be assumed by civilian authorities. The federal government's security policy is aimed at reducing injustices and promoting equal opportunities between genders, social groups, and peoples, as well as a sustainable distribution of natural resources.",-0.80 ,0.95 
The initiative calls for the creation of a civilian peace service as an instrument of an active peace policy. This service should contribute to reducing violence at home and abroad and prevent its reemergence. Participation in the civilian peace service should be voluntary and adequately compensated.,-0.35 ,0.70 
"The initiative calls for an amendment to Article 41ter of the Federal Constitution. This stipulates that the federal government will levy a special tax of at least 20 percent on realized capital gains from private financial investments that are exempt from direct federal tax. Capital losses should be allowed to be offset against capital gains in the tax year and for a maximum of two subsequent years. Minor gains should remain tax-free. If no law is in force within three years of the popular initiative's adoption, the Federal Council would have to issue the necessary implementing provisions.",-0.70 ,0.00 
"An initiative calling for Switzerland's accession to the United Nations (UN) is then put to a referendum.
The Federal Constitution is supplemented by a transitional provision in Article 197, which states: ""Switzerland shall accede to the United Nations"" and authorizes the Federal Council to submit an application for accession.
Although the application for accession itself is not part of the referendum, the Federal Council nevertheless publishes the planned letter before the ballot for tactical reasons, as it explicitly states:""Switzerland remains neutral even as a member of the United Nations""
(Explanatory Notes by the Federal Council, p. 9). In doing so, it attempts to counter objections based on neutrality policy, which still consider UN accession incompatible with Swiss neutrality.",0.00 ,0.60 
"The people and the cantons will decide on the creation of an Article 34a of the Federal Constitution and an Article 24 of the transitional provisions. The initiative calls for a gradual reduction of the maximum annual working time by 52 hours per year to 1,872 hours, as well as a strict limitation of permissible overtime to a maximum of 100 hours per year and a maximum weekly working time of 48 hours. For incomes below one and a half times the average wage, salaries should not be reduced. Companies that reduce their employees' working hours by at least 10% within one year will receive temporary federal support.",-0.69 ,0.24 
"The subject of the 2002 vote was the revision of the Criminal Code and the establishment of a time limit for abortion. In the future, a pregnancy should be able to be terminated without penalty in the first twelve weeks, provided the woman claims personal hardship, is made aware of state counseling services, and has the abortion performed in a clinic or practice designated by the canton. After this time limit has expired, an abortion will remain unpunished, as before, if, in the opinion of a doctor, it is necessary to protect the pregnant woman from serious physical or psychological harm.",0.00 ,0.62 
"In 2002, the people had to decide on the inclusion of a constitutional article that gives the protection of unborn life top priority. According to this article, abortion should only be performed without punishment if an acute, physically based threat to the life of the pregnant woman cannot be averted in any other way. At the same time, the cantons are obligated to provide pregnant women in distress with the necessary assistance, and they can entrust this task to private institutions.",0.00 ,-0.74 
"This reform would, for example, allow the SNB to sell part of its gold reserves and invest the proceeds profitably. This concern was taken into account in the draft of a new Federal Constitution (BV). Instead of requiring banknote circulation to be covered by gold and foreign currency reserves, the central bank would be required to build up sufficient foreign currency reserves.",0.59 ,0.08 
"The core elements of the law are as follows: Consumers can freely choose their supplier. Suppliers are obligated to supply their customers with sufficient electricity. Grid owners operate their facilities safely, comprehensively, and reliably. The transmission grid is operated by a national private company (the Swiss Grid Company). State controls ensure that grid prices are set according to uniform criteria. Unjustifiably high prices are prevented. The transition period is six years. Domestic renewable energies (hydro, wind, solar, biomass) are promoted. The federal government can provide loans to hydroelectric power plants for ten years after this law comes into force.",0.40 ,0.30 
"The initiative calls for the addition of a new paragraph 1a to Article 121, paragraph 1 of the Federal Constitution. This paragraph stipulates that, in the area of ​​asylum, the federal government, subject to international legal obligations, should observe not only procedural but also criminal and welfare law principles, thereby reducing Switzerland's attractiveness as a country of asylum. The central concern of the initiators is the introduction of a new third-country regulation: Asylum applications from persons who have entered Switzerland via a third country designated as safe (e.g., our neighboring countries) should no longer be accepted. Furthermore, they call for sanctions against scheduled airlines that transport asylum seekers to Switzerland without valid travel documents. Finally, they demand further reductions in social assistance benefits for asylum seekers and temporarily admitted persons.",0.30 ,-0.78 
"The revision of the AVIG currently up for vote essentially brings the following changes: 1. The federal government and cantons will contribute to the unemployment insurance system with fixed annual contributions of CHF 300 million and CHF 100 million, respectively; 2. The social partners' contributions will be reduced from 3 to 2 percent of wages; 3. The solidarity contribution of 2% will be abolished; if the unemployment insurance system's debts amount to CHF 5 billion or more, a corresponding contribution of 1% will be levied; 4. The contribution period for entitlement to unemployment benefits will be increased from 6 to 12 months, with exceptions; 5. The period of entitlement to unemployment benefits will be reduced from 520 to 400 days, with exceptions for certain groups of persons. Furthermore, the cantons may, under certain circumstances, regionally and temporarily, extend the period of entitlement. 6. High severance payments (over CHF 106,800) upon termination of employment will delay the receipt of benefits. 7. During illness, pregnancy, and after childbirth, the duration of unemployment benefits is extended for unemployed individuals. Eligibility for unemployment benefits after raising children is easier. Furthermore, there are a number of other minor adjustments to benefit the unemployed.",0.37 ,0.04 
"A proposal will be put to the ballot, which essentially comprises two innovations: first, the introduction of the so-called general popular initiative (Article 139 of the Federal Constitution): 100,000 eligible voters will be able to submit a generally formulated proposal to demand that a bill be drafted at the constitutional or legislative level that achieves their goals. If the initiators are subsequently dissatisfied with the implementation of their proposal, they can file an appeal with the Federal Supreme Court; if Parliament refuses to draft a proposal, the people will decide on the general proposal; Parliament is then obligated to draft an implementation draft if a majority so requests. Second, the optional referendum on international treaties will be expanded (Article 141 of the Federal Constitution): From now on, the optional referendum will no longer apply only to those international treaties that involve multilateral legal harmonization, but rather to all international treaties that ""contain important legislative provisions or whose implementation requires the enactment of federal laws"" (paragraph 1).",0.00 ,0.37 
"The urgent federal law on the adjustment of cantonal contributions to hospital treatment, which is retroactive to the beginning of 2002, regulates the gradual adjustment of cantonal contributions to the treatment costs of privately and semi-privately insured patients in public or subsidized hospitals in 2002, 2003, and 2004: In 2002, the cantons will cover 60%, in 2003 80%, and in 2004 100% of the amount owed. This is a transitional solution until the planned revision of hospital financing in the Health Insurance Act.",-0.45 ,-0.10 
"Key points of the army reform are: Military personnel will be discharged from service earlier than before, with soldiers generally being discharged at the age of 30. This will reduce the army by around a third. Recruit school will be extended, to 18 or 21 weeks, depending on the branch of the military. This will be followed by six or seven refresher courses of three weeks each. The duration of the training service will thus be reduced. Up to 15 percent of each recruit cohort will be able to complete the entire 300-day service in one go. The structure of the army will be simplified by eliminating corps, divisions, and regiments; the basic building blocks are now brigades and battalions. Finally, the powers of Parliament will be expanded, while those of the Federal Council will be somewhat restricted.",0.11 ,-0.28 
"According to the new federal law, the purpose of civil protection is to ""protect the population and their livelihoods in the event of disasters and emergencies, as well as in the event of armed conflict (...)."" The police, fire department, health services, technical services, and civil protection work closely together. The Federal Council coordinates civil protection. For members of the civil protection service, compulsory service now ends at age 40 instead of 50, and discharged military personnel are no longer required to perform protective service. Basic training is extended from one to a maximum of three weeks.",0.05 ,-0.19 
"The initiative calls for the automatic adjustment of rents to reflect falling mortgage costs. The average interest rate of the last five years should serve as the basis. Rent increases during the tenancy are only possible in the event of rising costs, additional services, and as inflation compensation, but no longer on the grounds of insufficient returns or adjustment to local rents. Furthermore, protection against termination is also being expanded. This allows tenants to challenge not only abusive but also ""unjustified"" terminations. The burden of proof that a termination is based on legitimate interests and is proportionate lies with the landlord.",-0.70 ,0.34 
"The Federal Constitution is to be amended by a new Article 24. This provides for one car-free Sunday per season, with public transport remaining guaranteed. A period of nine months is set for the establishment of implementing provisions and exceptions in a regulation. In the fourth year after the first car-free Sunday, the people and the cantons are to vote on the indefinite continuation of the regulation.",-0.30 ,0.50 
"First, the initiative calls for a new financing system for compulsory health insurance (amendment to Art. 34bis of the Federal Constitution). This would be funded from contributions from insured persons and, from now on, up to half from additional VAT percentages. The exact VAT rate would be set, if the initiative is adopted, based on current costs. Contributions from insured persons would no longer be levied as per capita premiums, but would be graduated according to income and assets.
Second, the initiative aims to enshrine in the constitution the mandate for the federal and cantonal governments to ensure effective cost containment in the healthcare system. To this end, a number of competencies in healthcare and health insurance—such as the planning and management of advanced medical care, prices for medical services, tariffs, and the licensing of service providers—would be transferred from the cantons to the federal government.",-0.85 ,0.23 
"The ""Equal Rights for People with Disabilities"" initiative will be put to a vote on May 18, 2003, and calls for an amendment to the new Federal Constitution. According to this, the federal government must ensure equal treatment for people with disabilities through legislation and take measures to eliminate and compensate for existing disadvantages faced by people with disabilities. This demand of the initiative is already largely met by Article 8, Paragraph 4 of the new Federal Constitution. The second part of the initiative is particularly important to the initiators. It calls for constitutionally guaranteed, legally enforceable access for people with disabilities to buildings and facilities, or to the use of facilities and services intended for the public, as far as economically reasonable.",-0.28 ,0.75 
"The Federal Constitution should be amended as follows: Nuclear power plants will be gradually shut down. The reprocessing of spent nuclear fuel will be discontinued. The Federal Government will enact legal regulations, in particular concerning the conversion of the electricity supply to non-nuclear energy sources, avoiding substitution with electricity from fossil-fuel plants, the permanent storage of radioactive waste, the co-decision rights of the affected municipalities, and the assumption by the operators of all costs associated with the decommissioning of nuclear power plants. The Beznau 1, Beznau 2, and Mühleberg nuclear power plants are to be decommissioned no later than two years after the adoption of this initiative; the Gösgen and Leibstadt nuclear power plants are to be decommissioned no later than after 30 years of operation, i.e., by 2008 and 2014, respectively.",-0.60 ,0.65 
"The Federal Constitution should be amended as follows: If a nuclear power plant is to remain in operation for longer than 40 years, a federal resolution subject to a referendum is required. The operating period may be extended by a maximum of ten years at a time. The operator's application for an extension must, in particular, provide information about the plant's aging status and the planned safety measures. Furthermore, the federal government should issue regulations regarding the declaration of the origin and type of electricity production.",-0.34 ,0.51 
"The Federal Constitution should be amended as follows: The right to adequate vocational training is guaranteed. The Confederation and cantons shall ensure a sufficient supply. The Confederation shall establish a vocational training fund, which shall be financed through a vocational training levy paid by all employers. The costs of the apprenticeships offered shall be taken into account.",-0.65 ,0.30 
"According to the initiative, the Constitution should have been amended as follows: The Confederation shall promote the appropriate performance of transport infrastructure. It shall promote the expansion and maintenance of road and rail infrastructure and contribute to the elimination of capacity bottlenecks. Roads as part of international and national networks, as well as bypass roads, are exempt from the Alpine protection article. Construction work between Geneva and Lausanne, Bern and Zurich, and Erstfeld and Airolo must have begun no later than ten years after the adoption of this article.

The counter-proposal contains the same general provisions in the first two sentences. In addition, it stipulates the following: The construction of additional lanes between Amsteg and Airolo, as well as bypass roads, are exempt from the Alpine protection article. The Federal Council shall propose to Parliament, one year after the adoption of this article, a program for the completion and expansion of the motorway network and for contributions to the improvement of infrastructure in urban areas. The measures concern roads and rail. Implementation will be financed by a fund.",0.44 ,-0.29 
"Thus, rent increases would only be possible if costs rise, but no longer by citing insufficient returns or higher comparable rents. Compared to current law, the proposal introduces several significant changes. For example, a rent is no longer abusive if it results in a translated return, but rather if the rent exceeds a statistical benchmark by more than 15%. Furthermore, rent increases can no longer be justified by increased mortgage interest rates or adjustment to the local standard. Only the passing on of inflation (up to 100%) is permitted. Furthermore, rent increases following a change of ownership or renovations may only be staggered over time. The maximum annual increase may not exceed a certain percentage (10 or 20%) of the previous rent. Tenants can have their rent reviewed every five years based on a comparable rent.",-0.80 ,0.10 
"The Federal Constitution should be amended as follows: If a sexual or violent offender is deemed extremely dangerous and untreatable, he or she must be detained for the rest of his or her life. Early release and parole are excluded. New expert opinions may only be prepared if new scientific findings prove that the offender can be cured. Expert opinions must be prepared by at least two independent experts.",0.00 ,-0.80 
"The 11th AHV revision provides for the following measures: 1. The retirement age for women will be increased from 64 to 65 starting in 2009, and at the same time, options for more flexible retirement will be improved. Women and men can now receive half pensions from the age of 59 or full pensions from the age of 62. To compensate for the longer period of receipt, pensions will be reduced permanently. 2. Future widows' and widowers' pensions will be gradually reduced from 80 to 60 percent of an old-age pension. At the same time, orphans' pensions will be increased from 40 to 60 percent. Childless widows will receive a one-time compensation equal to an annual widow's pension instead of a pension. 3. AHV pensions will generally only be adjusted to reflect wage and price developments every three years (previously two). 4. The monthly tax allowance of CHF 1,400, on which employed persons of retirement age currently pay no contributions, will be abolished.",0.50 ,-0.25 
Vote on a constitutional amendment proposed by the Federal Council and Parliament to immediately (from 2005) increase the value added tax (VAT) by 0.8 percentage points in favor of the disability insurance (IV) and to increase the value added tax by one percentage point in favor of the old-age and survivors' insurance (AHV) if necessary. The Federal Council would only request this increase in favor of the old-age and survivors' insurance (AVS) from Parliament if the AHV finances truly required it. A referendum could be held against the corresponding resolution.,-0.40 ,0.00 
"1. Reform of married couple and family taxation: A partial tax splitting principle will be introduced, substantially reducing tax progression and thus taxes for married couples and families. Furthermore, higher (child) deductions will be introduced. Single parents and married couples with or without children will benefit from a total of more than CHF 1.5 billion in direct federal tax relief alone. If adopted, the provisions will enter into force at the federal level in 2005. By 2010 at the latest, all cantons must also adopt the splitting model and are obligated to include deductions for childcare costs and health insurance premiums in their tax laws.

2. Reform of residential property taxation: The taxation of owner-occupied residential property, the so-called imputed rental value, will be abolished. In return, deductions for interest on debt and maintenance costs on this residential property will be eliminated. However, there are exceptions to the promotion of home ownership: First, new buyers can deduct between CHF 7,500 and CHF 15,000 of interest on their mortgage during the first five years. Second, maintenance costs exceeding CHF 4,000 for the primary residence are deductible. There are also additional building savings models. This reform will result in a reduction in direct federal tax revenue of CHF 480 million.
3. Revision of stamp duties: The exemption of Swiss investment funds and foreign institutional investors from stamp duty on securities trading, which was urgently introduced in previous years but for a limited period (until 2002), is to be incorporated into ordinary law. New additions include, among others, the exemption of so-called corporates, i.e., foreign companies whose shares are listed on a recognized stock exchange. This revision results in a permanent federal revenue shortfall of CHF 310 million, with CHF 240 million already temporarily lost until 2002.",0.50 ,-0.11 
"This proposal aims to standardize and relax the regulations governing the simplified naturalization of foreign nationals who grew up in Switzerland. A new constitutional provision is intended to grant the federal government the authority to establish principles for the naturalization of young foreign nationals who grew up in Switzerland and have completed at least five years of compulsory schooling here. The law, which was revised at the same time (which is not subject to the vote), specifies that naturalization fees may not exceed costs, and that applicants must also be between 14 and 24 years old and have resided in the municipality of naturalization for at least two years. The cantons will remain responsible for individual naturalizations.",0.00 ,0.75 
"This constitutional provision grants the federal government the authority to regulate the acquisition of Swiss citizenship for children of the third generation of foreign nationals at birth. According to the proposed law, third-generation children should receive Swiss citizenship at birth if at least one parent belongs to the second generation and the parent has held a residence or permanent residence permit for at least five years at the time of the child's birth. Parents may declare after the birth that they waive the acquisition of Swiss citizenship for their child. The child may revoke any declaration of waiver upon reaching adulthood, provided they reside in Switzerland.",0.00 ,0.76 
The federal government should guarantee a basic postal service that meets the needs and expectations of the population and the economy. This includes a nationwide post office network. Municipalities should be involved in decisions regarding the post office network. Costs for basic services that are not covered by revenue or concession fees should be borne by the federal government.,-0.58 ,0.38 
"A revision of the Earnings Compensation Act is being put to a vote. Earnings compensation for military and civil defense personnel will now be extended to working women, who would be entitled to 80% of their previous salary for 14 weeks after the birth of their child. At the same time, earnings compensation for military personnel will be raised to the same level, and the daily allowance for recruits will be increased from CHF 43 to CHF 54. For the first two to three years, the additional expenditure will be covered from the reserves of the Earnings Compensation Act; subsequently, it is planned to increase employee and employer contributions to the Earnings Compensation Act by 0.1 percentage points each.",-0.50 ,0.66 
"The redesign of the division of responsibilities and fiscal equalization provides for the revision of 27 constitutional articles and pursues four objectives. 1. The unbundling of responsibilities: This is achieved through a reorganization of responsibilities according to the principle of subsidiarity, whereby the Confederation only assumes tasks that exceed the power of the cantons or that require uniform regulation. 2. New forms of cooperation: These regulate common areas of responsibility and distinguish between joint tasks and intercantonal cooperation. For joint tasks, the Confederation and cantons share responsibility and financing, and the cantons are granted greater scope for action. Intercantonal cooperation is to be promoted through clear regulations (performance compensation, participation rights), and the Confederation can declare intercantonal agreements generally binding.
3. The reform of fiscal equalization distinguishes between resource equalization and burden equalization. With the former, the federal government and financially strong cantons support resource-poor cantons,
whereby financial flows are no longer calculated based on expenditures,
but rather on a resource index based on tax revenues; with the instrument of burden equalization, cantons
with mountainous regions and core cities are intended to be compensated by the federal government and other cantons for
these special burdens. 4. Finally, a temporary hardship compensation is intended to ensure that no resource-poor canton is worse off than before during the transition to the new system.",-0.28 ,0.21 
